Question number;Category;Subcategory;Number;Question;Option A;Option B;Option C;Correct answer;poznámky
1000;Znak;vys;6040193;Jak se zachováte v místě, kde je tato výstražná dopravní značka?;Nezměním způsob jízdy ani chování, protože není důvod očekávat změnu dopravní situace.;Přizpůsobím jízdu tomu, že se vozovka oproti předcházejícímu úseku výrazně zužuje, a to z obou stran.;Zvýším rychlost jízdy, abych byl co nejrychleji z místa zúžení.;b;obrázek
960;Znak;upr;6040194;Tato dopravní značka označuje:;Vedlejší pozemní komunikaci.;Konec hlavní pozemní komunikace.;Hlavní pozemní komunikaci;c;obrázek
331;Prav;mhd;6040205;Můžete při vjíždění na tramvajový pás omezit v jízdě tramvaj?;Ano.;Ne.;;b;obrázek
591;Res;kri;6040243;Řidič vozidla z výhledu projede vyobrazenou křižovatkou jako:;První.;Druhý.;Třetí.;a;obrázek
931;Znak;sem;6040252;Může řidič vozidla z výhledu vjet na železniční přejezd?;Ano. ;Ne.;;b;obrázek
592;Res;kri;6040332;Jak se zachováte jako řidič vozidla z výhledu?;Projedete křižovatkou jako první.;Dáte přednost zelenému automobilu.;Dáte přednost červenému automobilu.;c;obrázek
593;Res;kri;6050022;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Máte přednost v jízdě před zeleným i žlutým vozidlem. Jako druhé projede křižovatkou žluté vozidlo a jako poslední zelené vozidlo.;Musíte dát přednost v jízdě žlutému vozidlu, protože je na hlavní pozemní komunikaci, i zelenému vozidlu, protože odbočujete vlevo.;Musíte dát přednost v jízdě žlutému vozidlu, které přijíždí po hlavní pozemní komunikaci. Řidič zeleného vozidla musí dát přednost v jízdě vám.;b;obrázek
594;Res;kri;6050024;Jste řidičem vozidla z výhledu. Jaké chování očekáváte od řidiče zeleného vozidla?;Projede křižovatkou jako první a nedává přednost v jízdě žádnému vozidlu.;Dá přednost v jízdě červenému vozidlu a projede křižovatkou jako druhý.;Dá přednost v jízdě vašemu vozidlu, které projede křižovatkou jako první.;b;obrázek
335;Prav;mhd;6050048;Jedete v obci jako řidič vozidla z výhledu. Je vaší povinností umožnit autobusu vyjetí ze zastávky?;Ano, a to snížením rychlosti jízdy nebo i zastavením vozidla.;Ne, protože autobus vyjíždí od okraje pozemní komunikace.;Ano, avšak pouze snížením rychlosti nebo změnou směru jízdy, nikoli zastavením vozidla.;a;obrázek
595;Res;kri;6050055;Jako řidič automobilu z výhledu projedete touto křižovatkou:;Jako první, protože zelené vozidlo, které přijíždí zprava, vám musí dát přednost v jízdě.;Jako druhý, protože zelené vozidlo, které přijíždí zprava, má přednost v jízdě.;Jako první nebo druhý. Vozidla projíždějí křižovatkou v pořadí, v jakém k ní přijela.;b;obrázek
596;Res;kri;6050059;Ve vyobrazené dopravní situaci jste řidičem vozidla z výhledu. Na křižovatce:;Dáte přednost v jízdě červenému i zelenému vozidlu. Jako první projede křižovatkou červené vozidlo.;Máte přednost v jízdě před červeným vozidlem. Zelené vozidlo projede křižovatkou jako první.;Dáte přednost v jízdě zelenému i červenému vozidlu. Jako první projede křižovatkou zelené vozidlo.;a;obrázek
597;Res;kri;6050073;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Pojedete jako první. Po vás pojede zelené vozidlo a jako poslední červené nákladní vozidlo.;Pojedete jako druhý, hned po zeleném vozidle, kterému musíte dát přednost v jízdě.;Pojedete jako poslední. Jako první pojede zelené vozidlo a po něm červené nákladní vozidlo.;a;obrázek
929;Znak;pri;6050074;Vyobrazená dopravní značka:;Přikazuje řidiči motorového vozidla o třech a více kolech pokračovat v jízdě až po nasazení sněhových řetězů na nejméně dvě hnací kola.;Doporučuje řidiči motorového vozidla o třech a více kolech pokračovat v jízdě až po nasazení sněhových řetězů.;Zakazuje vjezd vozidlům s nasazenými sněhovými řetězy.;a;obrázek
598;Res;kri;6050137;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Nebudete nikomu dávat přednost v jízdě, protože jste na hlavní pozemní komunikaci.;Musíte dát přednost v jízdě protijedoucímu žlutému vozidlu, protože odbočujete vlevo.;Musíte dát přednost v jízdě červenému nákladnímu vozidlu, protože přijíždí zprava.;c;obrázek
599;Res;kri;6050139;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Projedete jako první, protože jste na hlavní pozemní komunikaci.;Dáte přednost v jízdě modrému automobilu jedoucímu zprava, teprve poté projedete křižovatkou.;Projedete současně s protijedoucím červeným vozidlem, a to před modrým vozidlem jedoucím zprava.;b;obrázek
600;Res;kri;6050140;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Projedete jako první současně s modrým vozidlem jedoucím zprava.;Projedete jako první současně s protijedoucím červeným vozidlem.;Dáte přednost v jízdě modrému vozidlu přijíždějícímu zprava.;a;obrázek
601;Res;kri;6050141;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;"Vám dává policista pokyn ""Stůj!"", takže máte povinnost zastavit vozidlo na hranici křižovatky. Zelené osobní i červené nákladní vozidlo mohou křižovatkou projet současně.";"Vám dává policista pokyn ""Volno"", takže můžete projet křižovatkou. Zelené osobní i červené nákladní vozidlo musí zůstat stát na hranici křižovatky.";"Vám dává policista pokyn ""Volno pro odbočení vpravo i vlevo"", takže můžete projet křižovatkou. Zelené osobní vozidlo musí zůstat stát na hranici křižovatky, červené nákladní vozidlo může odbočit vpravo.";a;obrázek
1071;Znak;zak;6050142;Zákaz vyplývající z nejbližší vyobrazené dopravní značky:;Platí pro všechna motorová vozidla, s výjimkou motorových vozidel vybavených zvláštním výstražným světlem modré nebo oranžové barvy.;Neplatí pro vozidla zajišťující zásobování nebo lékařské, opravárenské, údržbářské, komunální a podobné služby pro oblast za značkou a pro vozidla s označením O 1.;Neplatí pro nakládání nákladu do vozidla nebo jeho vykládání a pro nastupování osob do vozidla s označením O 1 a vystupování z něj.;b;obrázek
602;Res;kri;6050143;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Projedete jako první, protože jste na hlavní pozemní komunikaci. Hned po Vás projede červený nákladní automobil.;Projedete jako druhý, hned po protijedoucím žlutém vozidle, kterému musíte dát přednost v jízdě.;Projedete jako druhý, hned po červeném nákladním vozidle, kterému musíte dát přednost v jízdě.;c;obrázek
603;Res;kri;6050144;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Máte přednost v jízdě před protijedoucím vozidlem, protože odbočuje vlevo a nejede po hlavní pozemní komunikaci.;Dáte přednost v jízdě protijedoucímu vozidlu, protože se nachází na hlavní pozemní komunikaci.;Dáte přednost v jízdě protijedoucímu vozidlu, i když je na vedlejší pozemní komunikaci, neboť Vám to ukládá dopravní značka.;b;obrázek
604;Res;kri;6050145;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Dáte přednost v jízdě modrému osobnímu automobilu a poté projedete křižovatkou.;Dáte přednost v jízdě červenému nákladnímu automobilu a poté projedete křižovatkou.;Dáte přednost v jízdě oběma přijíždějícím automobilům, křižovatkou projedete jako poslední.;a;obrázek
605;Res;kri;6050147;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Máte přednost v jízdě před tramvají, ale musíte dát přednost v jízdě zelenému vozidlu.;Máte přednost v jízdě před tramvají i zeleným vozidlem.;Musíte dát přednost v jízdě tramvaji i zelenému vozidlu.;a;obrázek
606;Res;kri;6050148;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Projede jako první nákladní automobil. Protijedoucí modré vozidlo pak projede současně s Vámi, a to tak, že se budete vyhýbat vlevo (Vaše vozidla se budou míjet pravými boky).;Projede jako první nákladní automobil. Protijedoucí modré vozidlo pak projede současně s Vámi, a to tak, že se budete vyhýbat vpravo (Vaše vozidla se budou míjet levými boky).;Projedete jako první současně s protijedoucím modrým vozidlem, a to tak, že se budete vyhýbat vpravo (Vaše vozidla se budou míjet levými boky). Nákladní automobil projede jako poslední.;a;obrázek
607;Res;kri;6050149;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Projede jako první zprava přijíždějící modré vozidlo, po něm protijedoucí zelené vozidlo. Vy projedete křižovatkou jako poslední.;Projede jako první protijedoucí zelené vozidlo, po něm zprava přijíždějící modré vozidlo. Vy projedete křižovatkou jako poslední.;Projedete jako první současně s protijedoucím zeleným vozidlem. Zprava přijíždějící modré vozidlo projede křižovatkou jako poslední.;a;obrázek
1001;Znak;vys;6050156;Tato značka upozorňuje na:;Místo,kde se vozovka oproti předcházejícímu úseku výrazně zužuje, a to z obou stran.;Místo, kde se vozovka oproti předcházejícímu úseku výrazně zužuje z jedné strany.;Místo, kde při souběžné jízdě platí střídavé řazení do jízdního proudu průběžného pruhu.;a;obrázek
1002;Znak;vys;6050200;Tato dopravní značka:;Upozorňuje na přechod pro chodce, který by řidič jinak neočekával a který není viditelný z dostatečné vzdálenosti.;Upozorňuje na místo nebo úsek pozemní komunikace s možností zvýšeného výskytu chodců anebo častého přecházení chodců přes pozemní komunikaci.;Upozorňuje na místo nebo úsek pozemní komunikace, v jejichž blízkosti se chodci často pohybují nebo shromažďují, přecházejí vozovku, nebo kde hrozí zvýšené nebezpečí jejich nenadálého vběhnutí do vozovky.;a;obrázek
1003;Znak;vys;6050201;Tato dopravní značka:;Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla i za neztížených povětrnostních podmínek.;Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla za ztížených povětrnostních podmínek, například za deště nebo sněžení.;a;obrázek
